# z Hz errHz M
0.07 69.748 19.6 F
0.09 70.462 12 F
0.12 71.570 26.2 F
0.17 73.514 8 F
0.1791 73.881 4 D
0.1993 74.710 5 D
0.2 74.739 29.6 F
0.27 77.768 14 F
0.28 78.220 36.6 F
0.3519 81.619 14 D
0.3802 83.028 13.5 D
0.4 84.038 17 F
0.4004 84.058 10.2 D
0.4247 85.325 11.2 D
0.445 86.406 12.9 D
0.47 87.767 49.6 F
0.4783 88.226 9 D
0.48 88.321 62 F
0.5929 94.934 13 D
0.6797 100.48 8 D
0.8 108.86 25.2 F
0.7812 107.50 12 D
0.8754 114.54 17 D
0.88 114.90 40 F
0.9 116.47 23 F
1.037 127.88 20 D
1.26 149.02 65 F
1.3 153.17 17 F
1.363 159.93 33.6 D
1.43 167.44 18 F
1.53 179.27 14 F
1.75 208.06 40 F
1.965 240.13 50.4 D
